shoulder_cm,arm_cm,height_cm,weight_kg,size_label,shoulder_cm_raw,chest_cm_raw,arm_cm_raw,height_cm_raw,weight_kg_raw
0.22077574958494942,-0.3896753993011181,-0.0007250681572507532,-1.2672325164994476,S,41.9,94.4,88.0,175.4,68.3
-1.1343800938411186,-2.383258962684167,-2.103898178723911,-0.7616215008991782,M,39.5,98.9,80.6,161.9,74.9
-0.005083557652727914,-0.2010931703324507,0.27969801325163457,-0.8458900034992237,M,41.5,97.5,88.7,177.2,73.8
-2.4330711104577665,-0.25497380718064194,-0.7640990119925578,-1.8724335806270418,S,37.2,93.9,88.5,170.5,60.4
-1.0779152670316983,-1.3864671809926428,-2.103898178723911,-0.5701021768081674,L,39.6,109.1,84.3,161.9,77.4
0.3337054032037901,-0.36273508087702444,-0.4369387503488561,-0.6160668145900107,M,42.1,98.3,88.1,172.6,76.8
-0.23094286489040525,0.6340567008145002,1.339074098574102,1.32976951817466,XL,41.1,112.9,91.8,184.0,102.2
1.0677481517262424,-0.6051979466938793,-0.17209472901823697,0.877783913319874,XXL,43.4,120.5,87.2,174.3,96.3
-0.8520559597940209,-0.551317309845688,-1.247049874418975,0.5713529947742567,XL,40.0,112.3,87.4,167.4,92.3
1.35007228577334,-0.06639157821197449,-0.06304130847033786,1.0693032374108848,XL,43.9,112.9,89.2,175.0,98.8
1.801790900248699,1.172863069296405,1.0119138369304004,0.2955651680832015,L,44.7,104.8,93.8,181.9,88.7
0.8983536712979855,0.7956986113590739,0.7003326353649693,1.0616424644472449,L,43.1,106.3,92.4,179.9,98.7
-0.5697318257469233,0.09525033233259542,-0.06304130847033786,0.027438114355786265,L,40.5,109.8,89.8,175.0,85.2
0.4466350568226268,0.06831001390850171,-0.4836759305836681,-0.7692822738628193,M,42.3,97.2,89.7,172.3,74.8
-1.1343800938411186,-0.2819141256047356,0.8561232361476848,0.5483706758833355,XL,39.5,112.7,88.4,180.9,92.0
-0.5697318257469233,-0.9554220862071167,0.575700154738795,-0.7999253657173805,M,40.5,96.3,85.9,179.1,74.4
0.5595647104414675,-0.14721253348425944,-0.4836759305836681,-0.19472430158978676,L,42.5,109.8,88.9,172.3,82.3
-0.6261966525563436,0.14913096918078667,-0.5615712309750258,-0.5394590849536063,M,40.4,102.4,90.0,171.8,77.8
-0.4568021721280826,-0.2819141256047356,0.7003326353649693,0.2572613032649993,L,40.7,104.3,88.4,179.9,88.2
0.22077574958494942,-0.9284817677830229,-0.2188319092530534,-1.9796844021180078,S,41.9,90.2,86.0,174.0,59.0
-0.8520559597940209,-2.0060945047468324,-0.8108361922273742,-0.9071761872083469,M,40.0,100.8,82.0,170.2,73.0
0.7854240176791448,-0.5782576282697856,-0.26556908948786545,0.1193673899194717,M,42.9,102.7,87.3,173.70000000000002,86.4
-0.7391263061751803,-0.6590785835420705,-0.37462251003576896,0.1346889358467517,L,40.2,104.4,87.0,173.0,86.6
-1.1343800938411186,-0.7398995388143554,0.48222579426916656,-0.8535507764628637,S,39.5,91.7,86.7,178.5,73.7
-0.005083557652727914,0.4724147902699303,0.9807557167738545,-1.4893949324450195,S,41.5,91.7,91.2,181.7,65.4
1.1242129785356627,0.9034598850554526,1.3858112788089185,-1.1676424679721222,S,43.5,92.4,92.8,184.3,69.6
0.7289591908697245,0.2299519244530716,0.575700154738795,-0.5624414038445275,M,42.8,99.4,90.3,179.1,77.5
-0.6826614793657639,-1.1978849520239754,-1.5118938957495942,-0.9301585060992681,M,40.3,100.1,85.0,165.7,72.7
-2.715395244504864,-0.6860189019661642,-0.8264152523056449,-0.39390439864443766,L,36.7,106.9,86.9,170.1,79.7
1.35007228577334,-0.3357947624529269,0.49780485434743726,-0.7999253657173805,M,43.9,99.5,88.2,178.6,74.4
0.3337054032037901,-0.5243769914215943,0.014853991921019917,0.9160877781380763,L,42.1,110.4,87.5,175.5,96.8
-0.34387251850924594,0.6071163823904066,0.575700154738795,0.1346889358467517,L,40.9,104.5,91.7,179.1,86.6
-0.5697318257469233,0.014429377060310465,0.07717023223410259,-0.8152469116446616,M,40.5,101.5,89.5,175.89999999999998,74.2
0.10784609596611276,0.6879373376626915,0.5601210946605244,0.5483706758833355,L,41.7,110.9,92.0,179.0,92.0
-0.7391263061751803,-1.4672881362649277,0.43548861403435013,-0.26367125826255006,M,40.2,99.1,84.0,178.2,81.4
-0.4568021721280826,1.3883856166891662,1.9622365017049643,0.8088369566471109,XL,40.7,117.6,94.6,188.0,95.4
-0.17447803808098492,0.41853415342173905,-0.24999002940959475,0.035098887319426265,L,41.2,108.5,91.0,173.8,85.3
0.7289591908697245,0.41853415342173905,-0.3123062697226819,0.3951552166105269,L,42.8,108.5,91.0,173.4,90.0
0.8983536712979855,1.4153259351132637,1.0119138369304004,-0.10279502602610134,M,43.1,102.1,94.7,181.9,83.5
